SentID,Npred,NpredID,Vsup,VsupID,N0Role,N0ID,N0String,N1Role,N1ID,N1String,N2Role,N2ID,N2String
89,entrega,14,-, -,agent-giver, -, -,object-gen, -, -,recipient, -, -
90,seca,1,-, ,object-gen, -, - ,-, -, -,-, -, -
90,produção,5,-, ,agent-creator, -, - ,object-gen, 6 7, de grãos ,-, -, -
91,seca,2,atingir,4,object-gen, 6 7 8 9, áreas produtoras de grãos ,-, -, -,-, -, -
91,estrago,14,causar,12,cause, 1 2 3 4 6 7 8 9, A seca que atingiu áreas produtoras de grãos ,object-gen, 15 16 17 18, em a safra 1994/95 ,-, -, -
92,previsão,3,-, ,experiencer-gen, 4 5 6 7 8 9, de o IBGE ( Fundação_Instituto_Brasileiro_de_Geografia_e_Estatística ),object-f, -, -,-, -, -
92,queda,11,-, ,object-gen, 15 16 17 18 19 20 21 22 23, em a área plantada em esta safra em_relação_a anterior ,-, -, -,-, -, -
92,safra,21,-, ,object-gen, -, - ,-, -, -,-, -, -
93,resultado,6,-, ,cause, -, - ,-, -, -,-, -, -
93,influência,24,-, ,object-gen, 25 26 27, de o chumbo ,object-f, -, -,-, -, -
93,gestação,30,-, ,object-gen, -, - ,-, -, -,-, -, -
94,exposição,5,-, ,object-gen, -, - ,object-gen, 6 7 8, a o material ,-, -, -
94,gravidez,11,-, ,patient, -, - ,-, -, -,-, -, -
94,vida,19,-, ,patient, -, - ,-, -, -,-, -, -
94,perigo,22,representar,21,object-gen, 4 6 7 8 12 9 10 11 13 14 15 16 17 18 19, a a o material ou durante a gravidez em os dois primeiros anos de vida ,object-f, -, -,-, -, -
97,comemoração,11,-, ,agent-gen, -, - ,object-gen, 12 13 14 15 16 17 18 19 20 21, de os 50 anos de pintura de o artista japonês ,-, -, -
97,pintura,17,-, ,agent-creator, 18 19 20 21, de o artista japonês ,object-gen, -, -,-, -, -
98,técnica,3,-, ,experiencer-gen, -, - ,object-f, -, -,-, -, -
98,desenho,7,-, ,agent-creator, -, - ,object-gen, -, -,-, -, -
98,ceragrafia,11,-, ,agent-gen, -, - ,-, -, -,-, -, -
101,preço,1,-, -,object-gen, 2 3 4, de as obras,-, -, -,-, -, -
101,obra,4,-, -,agent-gen, -, -,object-gen, -, -,-, -, -
102,aplicação,2,-, ,agent-gen, -, - ,object-gen, , ,object-gen, 6 7 8 9, a o caso americano 
102,observação,5,-, ,experiencer-gen, -, - ,object-f, -, -,-, -, -
102,relação,13,-, ,object-gen, 14 15 16 17, entre negros e brancos ,object-gen, 14 15 16 17, entre negros e brancos ,-, -, -
102,escravidão,34,-, ,agent-gen, -, - ,patient, -, -,-, -, -
102,legado,31,-, ,object-f, 32 33 34, de a escravidão ,-, -, -,-, -, -
103,escravidão,10,-, ,agent-gen, -, - ,patient, -, -,-, -, -
103,efeito,14,ter,13,cause, 9 10, a escravidão ,object-gen, 16 17 18 19, sobre a cultura negra ,-, -, -
103,cultura,18,-, ,object-gen,19, negra ,-, -, -,-, -, -
103,efeito,14,exercer,13,cause,23, ela,object-gen,30 31 32 33 34 35 36 37, sobre a auto-confiança e a auto-estima de os negros ,-, -, -
103,confiança,33,-, ,experiencer-gen, 37 38 39, de os negros ,object-gen,32, auto- ,-, -, -
103,estima,36,-, ,experiencer-gen, 37 38 39, de os negros ,object-gen,35, auto- ,-, -, -
103,evolução,55,-, ,object-gen, 54 55 56 57 58 59 60 61 62 63 64 65 66 67 68 69 70, de o algoritmo etnocêntrico que os negros americanos teriam desenvolvido em o decorrer normal de os acontecimentos ,-, -, -,-, -, -
104,poder,7,em,5,object-gen,6, seu ,object-f,4, tudo ,-, -, -
104,sinal,13,-, ,agent-gen, 20 21 22, entre os negros ,object-f, 16 18 15 17 19," , ou talento virtude superioridade ",-, -, -
104,virtude,17,-, ,object-gen, 20 21 22, entre os negros ,-, -, -,-, -, -
104,talento,15,-, ,object-gen, 20 21 22, entre os negros ,object-f, -, -,-, -, -
104,superioridade,19,-, ,object-gen, 20 21 22, entre os negros ,object-gen, -, -,-, -, -
105,qualidade,12,-, ,object-gen, 7 8, os escravos ,-, -, -,-, -, -
105,justificativa,22,-, ,agent-speaker, -, - ,addressee, -, -,message, -, -
106,qualidade,21,-, ,object-gen, -, - ,-, -, -,-, -, -
107,tentativa,4,-, ,agent-gen, -, - ,object-f, 6 7 8 9, se documentar esse ponto ,-, -, -
107,acusação,15,-, ,agent-speaker, -, - ,addressee,12,pessoa,message, 16 17,de condescendência
107,condescendência,17,-, ,object-gen,12, pessoa ,object-gen, -, -,-, -, -
108,superioridade,12,-, ,object-gen, 13 14 15 16, de muitos atletas negros ,object-gen, -, -,-, -, -
108,acusação,21,-, ,agent-speaker, -, - ,addressee,,,message,  22 23 24 25 26 27 28 29 30 31 32,   de que se estar sendo anti- negro de uma maneira enviesada
109,ação,11,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
109,nome,24,-, ,object-gen, 25 26 27, de as operações ,-, -, -,-, -, -
109,operação,27,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
110,ação,14,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
117,derramamento,2,-, ,agent-gen, -, - ,object-gen, 3 4 5 6 7 8, de óleo de o petroleiro Exxon_Váldez ,-, -, -
117,estrago,16,causar,15,cause, 1 2 3 4 5 6 7 8, O derramamento de óleo de o petroleiro Exxon_Váldez ,object-gen, -, -,-, -, -
119,valor,2,-, -,object-gen, -, -,-, -, -,-, -, -
121,resgate,5,de,4,agent-gen,3, pessoal,object-gen, -, -,-, -, -
122,resgate,3,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
123,atenção,14,-, ,experiencer-gen, -, - ,object-gen,10 11, outro ponto ,-, -, -
124,compra,5,fazer,2,agent-taker, 14 15, o consumidor ,object-gen, -, -,-, -, -
124,função,30,desempenhar,27,object-gen,23 24 25,os tradicionais equipamentos,object-f, -, -,-, -, -
124,função,30,-,27,object-gen,31 32 33,de o conjugado,object-f, -, -,-, -, -
125,opção,3,,,experiencer-gen, -, - ,object-f, 6 7 8, o aparelho multiuso , -, -, -
126,idéia,3,-, ,experiencer-gen, -, - ,object-f, 4 6 7, de a Constituição ,-, -, -
126,reforma,26,fazer,24,agent-gen, 19 20 21 22, a equipe de FHC ,object-gen, -, -,-, -, -
126,resistência,9,enfrentar,8,agent-gen, -, - ,object-f, 2 3 4 6 7, a idéia de a Constituição ,-, -, -
127,aprovação,12,-, ,agent-gen, -, - ,object-gen, 18 19 20 22 21 23, de as leis e complementares ordinárias ,-, -, -
128,informação,19,trocar,18,agent-speaker, 16 17, seus funcionários ,addressee, 16 17, seus funcionários ,message, -, -
130,prejuízo,3,-, ,object-gen, -, - ,-, -, -,-, -, -
131,condição,19,sem,18,object-gen,17, companhia ,object-f, 20 21 22, de se reerguer ,-, -, -
132,fé,2,com,1,experiencer-gen, -, -,object-f, -, -,-, -, -
134,milagre,11,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
137,concurso,5,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
137,oficina,2,-, ,agent-gen, -, - ,topic, -, -,-, -, -
138,informação,1,-, -,agent-speaker, -, -,addressee, -, -,message, -, -
139,tema,8,-, ,object-gen, 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34," de a oficina com David_Campitti  ( veja trabalho de ele a o lado ) , roteirista de histórias de o Super-Homem e criador de vários personagens ",-, -, -,-, -, -
139,trabalho,16,-, ,agent-gen, 17 18, de ele ,object-f, -, -,-, -, -
141,informação,1,-, -,agent-speaker, -, -,addressee, -, -,message, -, -
142,violência,4,-, ,agent-gen, 5 6 7, de o Inter ,patient, -, -,-, -, -
145,recuperação,8,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
145,treino,6,fazer,5,agent-gen, 1 2 3, Os que jogaram ,-, -, -,-, -, -
146,postura,5,-, ,object-gen, 6 7 8 9 10 11, de o time de o Vitória ,-, -, -,-, -, -
149,pisão,4,levar,2,agent-gen, -, - ,object-gen,1, Pereira,-, -, -
150,atitude,10,ter,7,agent-gen,4 5, o Inter,-, -, -,-, -, -
152,missão,3,-, ,object-gen, 5 6 7,de os EUA ,object-f, -, -,-, -, -
152,mapeamento,43,realizar,41,agent-gen,27, Clementine_1 ,object-gen, 47 48 49 50 51 52, de o satélite da Terra ,-, -, -
153,nome,2,-, -,object-gen, 4 5 6, de o projeto,-, -, -,-, -, -
153,projeto,6,-, -,experiencer-gen, -, -,object-f, -, -,-, -, -
154,operação,17,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
155,lançamento,2,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
156,custo,2,-, -,object-gen, 4 5 6, de o projeto,-, -, -,-, -, -
156,projeto,6,-, -,experiencer-gen, -, -,object-f, -, -,-, -, -
157,perfil,3,-, ,object-gen, 4 6, de poupadores ,-, -, -,-, -, -
158,rendimento,32,perder,31,object-gen, 29 30, o dinheiro ,-, -, -,-, -, -
158,queda,35,-, ,object-gen, 36 37 38, de a inflação ,-, -, -,-, -, -
158,inflação,38,-, ,object-gen, -, - ,-, -, -,-, -, -
159,saque,4,-, ,agent-taker, -, - ,object-gen, -, -,-, -, -
160,ceticismo,3,-, ,experiencer-gen, -, - ,-, -, -,-, -, -
160,plano,5,-, ,experiencer-vol, -, - ,object-f, -, -,-, -, -
161,experiência,7,falta de, 5 6,object-gen, , ,-, -, -,-, -, -
161,entrevista,23,-, ,agent-speaker, 19 20, o brasileiro ,addressee, 24 25 26, a a Folha ,-, -, -
162,carreira,4,começar,2,agent-gen, 1 3, Diniz sua ,object-f,5, automobilística,-, -, -
163,estupro,5,-, ,agent-gen, 1 2, Ex- pastor ,patient, -, -,-, -, -
163,morte,7,-, ,patient, -, - ,-, -, -,-, -, -
164,tiro,38,-, ,agent-gen,20, Jonas_Rúbio ,patient, 30 31 33 35 32 34," a estudante , , Claudirene_Contijo 13 ",-, -, -
165,crime,12,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
167,queixa,8,prestar,7,agent-speaker, 2 3 4 5 6, A mãe de o estudante ,addressee,,,message,  9 10 11,  de o estupro 
167,estupro,11,-, ,agent-gen, -, - ,patient, -, -,-, -, -
167,ameaça,18,fazer,24,agent-speaker,22, Rúbio ,addressee,25 26, a Claudirene,message,20, morte
167,morte,20,-, ,patient,26, Claudirene ,-, -, -,-, -, -
168,fundação,7,-, ,agent-creator,1, Zanini ,object-gen, 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26," de um novo partido , que trará explícito em seu programa a ressalva de que é contra o racismo ",-, -, -
168,ressalva,20,-, ,agent-speaker,,,addressee,,,message,  21 22 23 24 25 26,  de que é contra o racismo 
168,racismo,26,-, ,object-gen, -, - ,-, -, -,-, -, -
169,movimento,4,-, -,agent-gen, -, -,-, -, -,-, -, -
170,manifesto,3,-, ,agent-speaker, 4 5 6, de o movimento ,message, -, -,-, -, -
171,apoio,8,dar,6,agent-gen,7, nosso ,object-gen, -, -,-, -, -
174,sabor,8,manter,6,object-gen, 1 2, O tomate ,-, -, -,-, -, -
174,sabor,8,ter,6,object-gen, 1 2, O tomate ,-, -, -,-, -, -
175,pacto,5,-, ,agent-gen, -, - ,object-f, -, -,co-agent, -, -
176,preço,20,-, ,object-gen, 21 22 23, de o produto ,-, -, -,-, -, -
176,pré-pacto,12,entrar em, 7 8,agent-gen, 1 2 3 4 5 6, Países produtores e consumidores café ,object-f,,,co-agent, 1 2 3 4 5 6,  Países produtores e consumidores café 
177,acordo,8,-, ,agent-gen, -, - ,object-f, -, -,co-agent, -, -
177,base,4,ter,2,object-gen, , ,-,,,-, -, -
179,acordo,13,-, ,agent-gen, -, - ,object-f, -, -,co-agent, -, -
179,aprovação,20,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
180,candidatura,6,-, ,agent-gen, -, - ,object-f, 7 8 9, a o Planalto ,-, -, -
181,compromisso,3,-, ,object-gen,2, Meu ,object-f,,,object-gen,  4 5 6, com o Pará 
183,oportunidade,17,ter,14,object-gen,,,object-f, 18 19 20 21, para disputar a presidência,-, -, -
185,atividade,5,-, ,agent-gen, 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23, de franqueadores que precisam importar produtos para distribuir- los a seus franqueados que operam em outro de eles ,-, -, -,-, -, -
186,problema,13,enfrentar,11,object-gen, 3 4 5 6 7 8 9 10, o master-franqueado de a Arby's em o México ,object-f, 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 51," para importar e o rosbife ( que , ao_contrário_de o que ocorre com a Arby's Brasil , vem de os EUA ) e as batatinhas ( canadenses ) que serve em seus restaurantes próprios ",-, -, -
188,acordo,3,-, ,agent-gen, -, - ,co-agent, -, -,object-f, -, -
188,barreira,10,-, ,object-gen, -, - ,object-f, -, -,-, -, -
188,importação,17,-, ,agent-taker, 18 19 20 21 22 23, por qualquer país de o acordo ,object-gen, 25 26 27 28 29 30 31 32 33 34 35 36 37," de veículos automotores , autopeças e acessórios fabricados em os demais países membros ",-, -, -
190,mercado,14,-, ,object-gen, 15 16, de usados ,-, -, -,-, -, -
190,carência,20,sofrer com, 17 18,object-gen, 13 14 15 16, o mercado de usados ,object-f, 21 22, de financiamentos ,-, -, -
190,financiamento,22,-, ,agent-gen, -, - ,object-gen, 13 14 15 16, o mercado de usados ,-, -, -
191,reabertura,7,-, ,agent-gen, -, - ,object-gen, 8 9, de crédito ,-, -, -
197,campanha,13,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
197,terrorismo,20,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
198,anúncio,18,-, ,agent-speaker, -, - ,addressee, -, -,message, -, -
199,concessão,7,-, ,agent-giver, -, - ,object-gen, 8 9 10 11 12, de o mandato de segurança ,recipient, -, -
200,renúncia,5,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
200,impeachment,10,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
201,julgamento,19,-, ,agent-gen, -, - ,object-gen, -, -,-, -, -
202,pensamento,2,-, ,experiencer-gen, -, - ,object-f, -, -,-, -, -
202,arrepio,6,-, ,experiencer-gen,4, me ,-, -, -,-, -, -
203,presença,57,-, ,object-gen, -, - ,-, -, -,-, -, -
204,vida,20,-, ,patient, 21 22, de Bukowski ,-, -, -,-, -, -
205,cultura,7,-, ,object-gen,8, beatnik ,-, -, -,-, -, -
205,leitura,39,-, ,agent-gen,38, suas ,object-gen, -, -,-, -, -
207,acidente,16,-, ,patient,15, seu ,-, -, -,-, -, -
207,treino,26,-, ,agent-gen, -, - ,-, -, -,-, -, -
208,condição,17,-, ,object-gen, 18 19 20, de aquele ponto ,-, -, -,-, -, -
209,opinião,4,-, ,agent-speaker,3, sua ,addressee, -, -,message, -, -
209,eficiência,20,-, ,object-gen,19, sua ,-, -, -,-, -, -
211,entrevista,2,-, ,agent-speaker,7, Angarita ,addressee, 3 4 5, a a Folha ,-, -, -
211,iniciativa,10,-, ,agent-gen, 11 12 13 14 15 16 17 18 20 21 22 23 25 24 26 27 28 29 30 31 32 33 34, de o Sindicato de os Eletricitários de São_Paulo que articulou uma ação para judicial tentar suspender a venda de ações de a Eletropaulo ,object-f, 22 23 25 24 26 27 28 29 30 31 32 33 34, uma ação para judicial tentar suspender a venda de ações de a Eletropaulo ,-, -, -
211,venda,29,-, ,agent-giver, -, - ,object-gen,  30 31 32 33 34,  de ações de a Eletropaulo ,,,
212,conversa,5,-, ,agent-speaker, 6 7 8 9 10 11 12 13 14, entre funcionários de a Casa_Branca e de o Tesouro ,co-agent, 6 7 8 9 10 11 12 13 14, entre funcionários de a Casa_Branca e de o Tesouro ,-, -, -
212,investigação,16,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
212,crime,31,-, ,agent-gen, -, - ,object-f, -, -,-, -, -
213,conversa,2,-, ,agent-speaker, -, - ,co-agent, -, -,-, -, -
213,demissão,8,-, ,agent-gen, -, - ,object-gen, 9 10 11 12 13 14 15," de Bernard_Nussbaum , amigo de a primeira-dama ",object-f, 17 18 19 20 21 22 23 24 25, de o cargo de assessor jurídico de a Casa_Branca 
213,cargo,19,-, ,object-gen,10 11 12 13 14 15,Bernard_Nussbaum amigo de a primeira-dama ,object-f, 20 21 22 23 24 25, de assessor jurídico de a Casa_Branca ,-, -, -
214,trabalho,4,-, ,agent-gen,3,seu ,object-f, -, -,-, -, -
216,reunião,7,-, ,agent-gen, 8 9 10 11 12 13 14 15 16, entre funcionários de a Casa_Branca e de o Tesouro ,co-agent,  8 9 10 11 12 13 14 15 16, entre funcionários de a Casa_Branca e de o Tesouro ,-, -, -
219,macroplanejamento,18,-,,agent-gen,, ,object-f, 19 20 21, de o país ,-, -, -
219,impeachment,33,-, ,agent-gen, 34 35, de Collor ,patient, -, -,-, -, -
220,medo,2,com,1,experiencer-gen,7, Modiano ,object-f, 3 4 5, de perder poderes ,-, -, -
220,poder,5,perder,4,object-gen,7, Modiano ,object-f, -, -,-, -, -
220,financiamento,23,bancar,28,agent-gen, 29 30 31, por o BNDES ,object-f, 24 25 26, de o projeto ,-, -, -
220,projeto,26,-, ,experiencer-gen, -, - ,object-f, -, -,-, -, -
220,atitude,14,-, ,agent-gen,9, Mourão ,-, -, -,-, -, -
222,pacto,30,fazer,28,agent-gen,26, Robert_Johnson ,object-f,,,co-agent, 31 32 33, com o diabo 
222,sucesso,40,-,,object-gen,26, Robert_Johnson ,-, -, -,-, -, -
223,exploração,9,-, ,agent-gen, 14 15, por David_Byrne ,object-gen, 10 11 12 13, de o pop asiático ,-, -, -
225,passo,30,-, ,agent-gen, 31 32, de Byrne ,-, -, -,-, -, -
225,busca,36,em,33,agent-gen,35, sua ,object-f, 37 38 39 40 41 42, de o sublime em a música,-, -, -
225,projeto,4,-, ,experiencer-gen, -, - ,object-f, -, -,-, -, -
228,exposição,20,-, ,agent-gen, -, - ,object-gen,21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38,"de iquebana ( arranjos ) florais , bonecas , cerâmicas , armaduras , máscaras , quimonos e espadas ",-, -, -
